[02:16:31] [main/INFO]: Loading Minecraft 1.21 with Fabric Loader 0.16.3
[02:16:31] [main/INFO]: Loading 5 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 21
	- minecraft 1.21
	- sharedadvancements 1.21.3-5.0.0
[02:16:31] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/ubiquitous-rotary-phone/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[02:16:31] [main/INFO]: Compatibility level set to JAVA_17
[02:16:39] [main/INFO]: Initializing Shared Advancements for Fabric in a production environment!
[02:16:39] [main/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[02:16:42] [main/INFO]: Loaded 1290 recipes
[02:16:42] [main/INFO]: Loaded 1399 advancements
[02:16:43] [main/INFO]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.4.1).
[02:16:43] [Server thread/INFO]: Starting minecraft server version 1.21
[02:16:43] [Server thread/INFO]: Loading properties
[02:16:43] [Server thread/INFO]: Default game type: SURVIVAL
[02:16:43] [Server thread/INFO]: Generating keypair
[02:16:43] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:16:43] [Server thread/INFO]: Using epoll channel type
[02:16:43] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:16:43] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:16:43] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:16:43] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:16:43] [Server thread/INFO]: Preparing level "world"
[02:16:50] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:16:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:16:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[02:16:51] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:16:51] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:16:52] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:16:52] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:16:53] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:16:53] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[02:16:54] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[02:16:54] [Server thread/INFO]: Time elapsed: 4455 ms
[02:16:54] [Server thread/INFO]: Done (10.943s)! For help, type "help"
[02:16:57] [Server thread/INFO]: El_Vertex_mc[/10.147.19.160:52519] logged in with entity id 4 at (480.3360180268125, 70.0, -1782.190175447208)
[02:16:57] [Server thread/INFO]: El_Vertex_mc joined the game
[02:17:40] [Server thread/INFO]: Xonsret[/10.147.19.75:51840] logged in with entity id 474 at (491.4219200476528, 70.0, -1766.9145523068385)
[02:17:41] [Server thread/INFO]: Xonsret joined the game
[02:24:59] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=478, y=75, z=-1754} class_2338{x=479, y=74, z=-1754}
[02:29:50] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=458, y=73, z=-1753} class_2338{x=463, y=73, z=-1753}
[02:29:50] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=458, y=73, z=-1753} class_2338{x=463, y=73, z=-1753}
[02:29:50] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=458, y=73, z=-1753} class_2338{x=463, y=73, z=-1753}
[02:31:13] [Server thread/INFO]: [Xonsret: Set own game mode to Creative Mode]
[02:31:42] [Server thread/INFO]: [Xonsret: Set own game mode to Survival Mode]
[02:33:13] [Server thread/INFO]: El_Vertex_mc lost connection: Timed out
[02:33:13] [Server thread/INFO]: El_Vertex_mc left the game
[02:33:13] [Server thread/WARN]: handleDisconnection() called twice
[02:34:16] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=474, y=72, z=-1748} class_2338{x=474, y=73, z=-1747}
[02:34:16] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=474, y=72, z=-1748} class_2338{x=474, y=73, z=-1747}
[02:34:35] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=475, y=73, z=-1751} class_2338{x=474, y=72, z=-1752}
[02:34:35] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=475, y=73, z=-1751} class_2338{x=474, y=72, z=-1752}
[02:34:35] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=475, y=73, z=-1751} class_2338{x=474, y=72, z=-1752}
[02:34:35] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=475, y=73, z=-1751} class_2338{x=474, y=72, z=-1752}
[02:34:35] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=472, y=73, z=-1751} class_2338{x=473, y=72, z=-1750}
[02:34:37] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=471, y=74, z=-1753} class_2338{x=472, y=72, z=-1753}
[02:34:47] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1752} class_2338{x=474, y=71, z=-1753}
[02:34:48] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1752} class_2338{x=474, y=71, z=-1753}
[02:34:49] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1750} class_2338{x=472, y=71, z=-1750}
[02:34:49] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1750} class_2338{x=472, y=71, z=-1750}
[02:34:49] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1750} class_2338{x=472, y=71, z=-1750}
[02:34:49] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1750} class_2338{x=472, y=71, z=-1750}
[02:34:49] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=473, y=73, z=-1750} class_2338{x=472, y=71, z=-1750}
[02:34:52] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=476, y=73, z=-1752} class_2338{x=476, y=72, z=-1750}
[02:34:54] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=478, y=74, z=-1749} class_2338{x=477, y=72, z=-1749}
